name,group-title,logo-link,link,largura,altura,fps,contagem quadros,tamanho_GB
Como Você Me Vê?,Filmes | Documentarios,https://image.tmdb.org/t/p/w600_and_h900_bestv2/vAHjv4PRfCTxk3LKkZkBaoNyn5q.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/6207.mp4,1280,720,30,201960,1.179707
A Rainha dos Condenados,Filmes | Terror,https://image.tmdb.org/t/p/w600_and_h900_bestv2/4GmuAm6DFu6PasmEiUKmtC1Wdd2.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/6473.mp4,1280,534,23,145981,1.886976
A Reviravolta,Filmes | Suspense,https://image.tmdb.org/t/p/w600_and_h900_bestv2/eF7UhLR1buTUTOfbIKsVT6kX4xc.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/5380.mp4,1280,694,23,178984,2.318277
A Sacada,Filmes | Suspense,https://image.tmdb.org/t/p/w600_and_h900_bestv2/ee5J28ROmg59WqTmA61W1fTKfCT.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/5176.mp4,1280,694,23,131952,0.959354
A Salinha,Filmes | Comedia,https://image.tmdb.org/t/p/w600_and_h900_bestv2/mdJsCAUZ9Pce7ZTW5le775ZNUle.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/3546.mp4,1280,584,29,171252,1.767833
A Semana da Minha Vida,Filmes | Ação,https://image.tmdb.org/t/p/w600_and_h900_bestv2/gfjdBn9rOoMZQgCqySlpjZv4L2V.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/952.mp4,1280,534,23,140769,2.369434
A Senhora do Casarão,Filmes | Comedia,https://image.tmdb.org/t/p/w600_and_h900_bestv2/w59ifg4dVE9lXy4Fw9o1aVltSw.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/3556.mp4,1280,692,23,138935,1.794505
A Serpente Verde,Filmes | Fantasia,https://image.tmdb.org/t/p/w600_and_h900_bestv2/kKrdS3he8ckFWa0wySI8kfYHWw6.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/4742.mp4,1280,536,24,191671,2.471461
A Sombra de Stalin,Filmes | Drama,https://image.tmdb.org/t/p/w600_and_h900_bestv2/gtzri2oD8C5h36nBvOJN9SAXqlA.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/4234.mp4,1280,526,24,170980,2.207077
Você Não Pode Chorar, Filmes | Lançamentos 2022,https://image.tmdb.org/t/p/w600_and_h900_bestv2/pSk9JzjGiQtVBpFQpE45deVhRuS.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/523799.mp4,1920,800,23,179997,2.999745
A Subida, Filmes | Legendados,https://image.tmdb.org/t/p/w600_and_h900_bestv2/AdJU8gNT6W2E95AbbnrCnfWfKPV.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/83748.mp4,1280,720,23,140570,1.816703
A Série Divergente: Convergente,Filmes | Ação,https://image.tmdb.org/t/p/w600_and_h900_bestv2/cAYhVm44sofmqaEGuQl4j5RL62S.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/970.mp4,1280,534,23,173424,1.128552
A Teoria de Tudo,Filmes | Drama,https://image.tmdb.org/t/p/w600_and_h900_bestv2/6q1XGbTJQqOGUpX9OlO0bGmtpql.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/4247.mp4,1280,536,23,177551,1.14231
A Torre Negra,Filmes | Ação,https://image.tmdb.org/t/p/w600_and_h900_bestv2/t4IeczvPNloj3IrDm2NjALKMV01.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/979.mp4,1280,534,23,136297,1.121219
A Sogra Perfeita, Filmes | Nacional,https://image.tmdb.org/t/p/w600_and_h900_bestv2/31Mad8qY3gsWYd7OeOgDXqqsUlt.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/71375.mp4,1280,696,29,169544,1.755088
A Verdadeira História de Ned Kelly,Filmes | Drama,https://image.tmdb.org/t/p/w600_and_h900_bestv2/y30AxTVrQUVKlokjz1TR0m5ISoY.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/4262.mp4,1920,892,24,180171,3.02719
A Vida Eletrizante de Louis Wain, Filmes | Legendados,https://image.tmdb.org/t/p/w600_and_h900_bestv2/lihTkVk0yoS6wZTLBYqsAkKbpsz.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/83755.mp4,1280,960,24,160319,2.067923
A VIDA INDECENTE,Filmes | Ação,https://image.tmdb.org/t/p/w600_and_h900_bestv2,http://wateronplay.com:80/movie/Veron23/Veron2023/1315.mp4,1280,536,24,138688,1.784855
A Vida Secreta das Palavras,Filmes | Drama,https://image.tmdb.org/t/p/w600_and_h900_bestv2/aplUNFbzYUx5B20RlJFj21ps4dq.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/4271.mp4,1280,692,23,165785,2.792272
