name,group-title,logo-link,link,largura,altura,fps,contagem quadros,tamanho_GB,ano,tipo,legendado,temporada,episodio,cam,dublado,provedor,generos,date
MacGyver,[Paramount+],https://image.tmdb.org/t/p/w300/mVmielVupCVXDkXO2AeA60muKRZ.jpg,http://dns.clientetv.net:8080/series/deboratv/FBJangXrph/89204.mp4,1280,720,23,68850,0.669453,,Série,False,5.0,13.0,False,False,"P, a, r, a, m, o, u, n, t, +,  , A, m, a, z, o, n,  , C, h, a, n, n, e, l",Drama,
MacGyver,[Paramount+],https://image.tmdb.org/t/p/w300/A2W2chLvSp2p4Bw038tdAbD2y1X.jpg,http://dns.clientetv.net:8080/series/guitv31/Gu102/89209.mp4,1280,720,23,69209,0.672873,,Série,False,5.0,18.0,False,False,"P, a, r, a, m, o, u, n, t, +,  , A, m, a, z, o, n,  , C, h, a, n, n, e, l",Drama,
MacGyver,Séries | Paramount,https://image.tmdb.org/t/p/w600_and_h900_bestv2/zhV4wzrB1MSXQ1MMCdJu3eZjRrA.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/196260.mp4,1280,964,23,67513,0.597241,,Série,False,1.0,12.0,False,False,"P, a, r, a, m, o, u, n, t, +,  , A, m, a, z, o, n,  , C, h, a, n, n, e, l",Drama,
MacGyver,Séries | Paramount,https://image.tmdb.org/t/p/w600_and_h900_bestv2/oG4qReexmZpjEzhBLNe8uI7OxKc.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/196274.mp4,1280,960,23,67088,0.59382,,Série,False,3.0,4.0,False,False,"P, a, r, a, m, o, u, n, t, +,  , A, m, a, z, o, n,  , C, h, a, n, n, e, l",Drama,
MacGyver,Séries | Paramount,https://image.tmdb.org/t/p/w600_and_h900_bestv2/87KbmE080ByXXclL1nNq6FsOXBq.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/103691.mp4,848,480,23,62410,0.177896,,Série,False,2.0,14.0,False,False,"P, a, r, a, m, o, u, n, t, +,  , A, m, a, z, o, n,  , C, h, a, n, n, e, l",Drama,
MacGyver,[Paramount+],https://image.tmdb.org/t/p/w300/lUBMntI2C8WIjwY5YPu1ArbODsH.jpg,http://dns.clientetv.net:8080/series/emerson9193/8391930120sme/89241.mp4,1280,720,23,68777,0.668622,,Série,False,7.0,8.0,False,False,"P, a, r, a, m, o, u, n, t, +,  , A, m, a, z, o, n,  , C, h, a, n, n, e, l",Drama,
Macaco vs. Máquina, Filmes | Lançamentos 2023,https://image.tmdb.org/t/p/w600_and_h900_bestv2/isXDRoaeOm7BJVXVwPzPTnKWKqi.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/322676.mp4,1280,530,23,120591,1.71851,"<re.Match object; span=(19, 25), match='(2023)'>",Filme,False,,,False,False,"Apple TV, Amazon Video, Google Play Movies","Ação, Ficção científica",2023-03-24
Mad Maria,[Globo Play Brasil],https://image.tmdb.org/t/p/w600_and_h900_bestv2/g5g4JlukXySLigFXkfEHP0rhee.jpg,http://dns.clientetv.net:8080/series/Beckt2/64858265/955941.mp4,1280,720,29,65037,0.507116,,Série,False,1.0,19.0,False,False,,,
Mad Maria,[Globo Play Brasil],https://image.tmdb.org/t/p/w600_and_h900_bestv2/g5g4JlukXySLigFXkfEHP0rhee.jpg,http://dns.clientetv.net:8080/series/guitv31/Gu102/955934.mp4,1920,1072,29,78059,0.60887,,Série,False,1.0,12.0,False,False,,,
Mad Maria,[Globo Play Brasil],https://image.tmdb.org/t/p/w600_and_h900_bestv2/g5g4JlukXySLigFXkfEHP0rhee.jpg,http://dns.clientetv.net:8080/series/Beckt2/64858265/955944.mp4,1280,720,29,74808,0.583421,,Série,False,1.0,22.0,False,False,,,
Mad Maria,[Globo Play Brasil],https://image.tmdb.org/t/p/w600_and_h900_bestv2/g5g4JlukXySLigFXkfEHP0rhee.jpg,http://dns.acaidopara.net:8080/series/igorcerqueira/ic120142750/955941.mp4,1280,720,29,65037,0.507116,,Série,False,1.0,19.0,False,False,,,
Mad Max 2 A Caçada Continua,Filmes | Ação,https://image.tmdb.org/t/p/w600_and_h900_bestv2/5inW7xf2kRoZDojXWfXLXK0fZ9z.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/115001.mp4,1280,528,23,137386,0.797391,"<re.Match object; span=(29, 35), match='(1981)'>",Filme,False,,,False,False,"Apple TV, Amazon Video, Google Play Movies, Microsoft Store","Ação, Aventura, Ficção científica, Thriller",1981-12-24
Mad Men Inventando Verdades,Séries | Diversas,https://image.tmdb.org/t/p/w600_and_h900_bestv2/9KS9O7TRB9qlFG8ZCDHUr5Sha0L.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/302517.mp4,960,540,23,70425,0.42589,,Série,False,1.0,1.0,False,False,"M, G, M, +,  , A, p, p, l, e,  , T, V,  , C, h, a, n, n, e, l",Drama,
Mad Men Inventando Verdades,Séries | Diversas,https://image.tmdb.org/t/p/w600_and_h900_bestv2/tMlY8h9jO1nNTo9vbKuoKIcWl1w.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/303101.mp4,960,540,23,69081,0.41208,,Série,False,5.0,5.0,False,False,"M, G, M, +,  , A, p, p, l, e,  , T, V,  , C, h, a, n, n, e, l",Drama,
Mad Men Inventando Verdades,Séries | Diversas,https://image.tmdb.org/t/p/w600_and_h900_bestv2/xUhqFOEQ6TGGobYJ2e7dqtOUzNW.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/303125.mp4,960,540,23,68216,0.407519,,Série,False,7.0,3.0,False,False,"M, G, M, +,  , A, p, p, l, e,  , T, V,  , C, h, a, n, n, e, l",Drama,
Mad Men Inventando Verdades,Séries | Diversas,https://image.tmdb.org/t/p/w600_and_h900_bestv2/pfjnQuFu2mgVvMNvILnPLZYlqmj.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/303119.mp4,960,540,23,68743,0.41572,,Série,False,6.0,10.0,False,False,"M, G, M, +,  , A, p, p, l, e,  , T, V,  , C, h, a, n, n, e, l",Drama,
